,genre,budget_norm,votes_norm,votes,budget,country,year,score_norm,score,rating,isprofit,profitability_ratio
1773,0,2.327440504816346,2.846742591963706,221241,85000000,1,2008,0.8487563950957264,7.0,5,0,-0.108768588
1774,4,-0.2011050840386004,0.211261877136749,68405,25000000,1,2008,-0.9114109178491172,5.5,5,1,0.92949556
1775,4,0.9367404309461254,1.744015772153785,157292,52000000,1,2008,0.1446894699177893,6.4,5,1,1.771731981
1776,4,1.4845919751980303,2.9556719782049177,227558,65000000,1,2008,0.7314119075660706,6.9,6,1,0.545673738
1777,5,0.2203191807705572,2.5098667823059064,201705,35000000,1,2008,0.6140674200364137,6.8,5,1,1.318839
1778,4,0.0096070483659784,2.9991437183844485,230079,30000000,1,2008,1.083445370155039,7.2,6,1,1.105748767
1779,4,0.0096070483659784,1.3325603209741808,133431,30000000,1,2008,-0.2073439926711802,6.1,5,1,1.560288467
1780,6,-0.6014581356073002,2.700031935300696,212733,15500000,0,2008,0.9661008826253824,7.1,5,1,0.497852194
1781,6,0.2203191807705572,1.833183708872688,162463,35000000,1,2008,1.200789857684695,7.3,6,0,-0.345386286
1782,0,0.2203191807705572,-0.0633636421410004,52479,35000000,1,2008,-0.324688480200836,6.0,6,0,-0.772909743
1783,0,1.6953041076026094,2.230792350308475,185521,70000000,1,2008,0.9661008826253824,7.1,6,0,-0.437219057
1784,1,2.5381526372209247,0.3141214289697124,74370,90000000,1,2008,0.379378444977101,6.6,4,0,-0.208943856
1785,4,-0.2432475105195161,1.7364802106867263,156855,24000000,1,2008,0.379378444977101,6.6,6,1,0.31074775
1786,6,1.9060162400071885,2.437856474098957,197529,75000000,1,2008,0.9661008826253824,7.1,5,1,0.10770444
1787,0,1.6953041076026094,0.1369926248744567,64098,70000000,1,2008,-0.6767219427898046,5.7,5,1,0.003300586
1788,0,2.116728372411767,2.0811329956800946,176842,80000000,1,2008,0.2620339574474452,6.5,5,1,0.6289901
1789,6,1.0631677103888726,3.340175295350168,249856,55000000,1,2008,1.6701678078033204,7.7,5,1,0.271851345
1790,0,2.327440504816346,3.4538984712660765,256451,85000000,1,2008,-0.2073439926711802,6.1,5,0,-0.056798494
1791,0,-0.4118172164431792,0.5059764790440714,85496,20000000,1,2008,0.379378444977101,6.6,5,1,0.2425461
1792,3,0.2203191807705572,0.5789524427250607,89728,35000000,0,2008,0.4967229325067578,6.7,5,0,-0.233858371
1793,0,0.0096070483659784,0.1614444009849583,65516,30000000,0,2008,-0.324688480200836,6.0,6,0,-0.634819167
1794,4,0.3046040337323888,3.5971431145311943,264758,37000000,1,2008,0.8487563950957264,7.0,6,1,0.631225595
1795,0,0.8524555779842938,0.17320470515094,66198,50000000,1,2008,0.0273449823881324,6.3,6,0,-0.99678718
1796,0,2.5381526372209247,1.895813363903253,166095,90000000,1,2008,-0.9114109178491172,5.5,5,1,0.111320411
1797,3,1.0631677103888726,2.6505420922561687,209863,55000000,1,2008,1.7875122953329765,7.8,6,0,-0.350185418
1798,5,-0.4118172164431792,1.77074373616738,158842,20000000,0,2008,1.200789857684695,7.3,6,1,0.5014296
1799,0,0.2203191807705572,0.9670769678979594,112236,35000000,0,2008,-1.028755405378773,5.4,5,1,0.162554086
1800,1,-0.453959642924095,0.3418150484573468,75976,19000000,1,2008,0.2620339574474452,6.5,6,0,-0.557763947
1801,4,0.4310313131751361,0.0367368940518499,58284,40000000,1,2008,-0.4420329677304919,5.9,5,1,0.15031835
1802,0,0.641743445579715,2.072649022586747,176350,45000000,1,2008,0.1446894699177893,6.4,6,0,-0.192977067
1803,4,-0.4118172164431792,-0.270979569059505,40439,20000000,1,2008,-0.2073439926711802,6.1,5,0,-0.999011
1804,4,-0.6225293488477581,-0.3860132774044671,33768,15000000,1,2008,-0.0899995051415233,6.2,5,0,-0.572698133
1805,0,1.6953041076026094,0.5082354230994139,85627,70000000,0,2008,-0.7940664303194614,5.6,5,0,-0.6781186
1806,4,0.2203191807705572,1.6013401758644408,149018,35000000,1,2008,-0.2073439926711802,6.1,5,1,1.293647029
1807,3,-0.1968908413905088,-0.2353710234542964,42504,25100000,1,2008,0.0273449823881324,6.3,5,1,0.017310478
1808,0,3.1702890344346613,1.0004438132955762,114171,105000000,1,2008,-1.3807888679677427,5.1,5,0,-0.097293324
1809,4,1.2738798427934517,1.198179015452926,125638,60000000,1,2008,0.9661008826253824,7.1,4,1,1.38589585
1810,0,1.2738798427934517,-0.0095111056155444,55602,60000000,1,2008,-1.7328223305567112,4.8,5,0,-0.670302017
1811,0,2.116728372411767,1.7631564431570692,158402,80000000,1,2008,0.379378444977101,6.6,5,1,0.263897963
1812,1,-0.7489566282905055,1.0861457366165868,119141,12000000,1,2008,0.379378444977101,6.6,6,1,2.173947167
1813,4,-0.3696747899622635,0.1263876585077723,63483,21000000,1,2008,1.4354788327440076,7.5,6,0,-0.853241667
1814,6,-0.4118172164431792,0.8568542930754444,105844,20000000,1,2008,1.4354788327440076,7.5,5,1,0.6711278
1815,9,0.2203191807705572,0.6111811941711309,91597,35000000,1,2008,-0.0899995051415233,6.2,6,0,-0.123101743
1816,6,-0.5171732826454687,0.2700806418144084,71816,17500000,1,2008,-0.0899995051415233,6.2,5,1,2.315301886
1817,1,0.3046040337323888,-0.4576959525041534,29611,37000000,1,2008,-0.324688480200836,6.0,4,1,0.297473054
1818,0,1.0631677103888726,0.6228725229461098,92275,55000000,1,2008,0.379378444977101,6.6,5,0,-0.053176909
1819,9,-0.9175263342141684,0.1112130724871507,62603,8000000,1,2008,-0.4420329677304919,5.9,6,1,1.1791055
1820,0,-0.4118172164431792,0.7295774528274808,98463,20000000,1,2008,0.6140674200364137,6.8,6,1,0.32078245
1821,4,1.0631677103888726,0.2460599618976744,70423,55000000,1,2008,-0.5593774552601488,5.8,6,0,-0.391402727
1822,5,0.4310313131751361,1.3230934485590429,132882,40000000,1,2008,0.379378444977101,6.6,5,1,0.80665765
1823,5,-1.1324527092668388,0.2207804810951389,68957,2900000,1,2008,1.4354788327440076,7.5,6,0,-0.987325517
1824,4,-0.8753839077332527,0.3937017863392222,78985,9000000,1,2008,0.4967229325067578,6.7,5,1,2.498588111
1825,1,1.0631677103888726,-0.0005787924806786,56120,55000000,1,2008,0.2620339574474452,6.5,4,0,-0.856854418
1826,4,2.116728372411767,0.3548686412046316,76733,80000000,1,2008,-0.2073439926711802,6.1,4,1,0.376274688
1827,9,-0.7489566282905055,0.084295426148298,61042,12000000,1,2008,-0.324688480200836,6.0,6,1,1.64098425
1828,5,0.0096070483659784,-0.0195470250064555,55020,30000000,1,2008,0.4967229325067578,6.7,6,0,-0.476353833
1829,4,-0.4118172164431792,0.4590732131621501,82776,20000000,0,2008,0.1446894699177893,6.4,5,0,-0.44152345
1830,6,-0.7910990547714212,-0.6037340991048856,21142,11000000,1,2008,1.200789857684695,7.3,5,1,2.433304545
1831,5,-0.4118172164431792,-0.0575869531445138,52814,20000000,1,2008,0.6140674200364137,6.8,6,1,0.01035015
1832,3,0.4310313131751361,-0.6663637541354511,17510,40000000,1,2008,1.200789857684695,7.3,4,0,-0.760253125
1833,4,-0.9175263342141684,0.1286810902586162,63616,8000000,1,2008,0.7314119075660706,6.9,6,1,0.50781975
1834,5,-0.3275323634813477,-0.228283802028756,42915,22000000,1,2008,-0.2073439926711802,6.1,5,1,0.784704818
1835,3,-0.2011050840386004,0.6224069390568407,92248,25000000,1,2008,1.6701678078033204,7.7,6,0,-0.25627376
1836,4,-0.6351720767920328,-0.2565982000354159,41273,14700000,1,2008,0.0273449823881324,6.3,6,0,-0.892118435
1837,9,-0.6225293488477581,-0.0830561162723071,51337,15000000,1,2008,-0.2073439926711802,6.1,6,0,-0.9944426
1838,0,1.2738798427934517,0.3508163369832155,76498,60000000,1,2008,-0.324688480200836,6.0,6,0,-0.3319765
1839,0,0.2203191807705572,-0.0131840451864449,55389,35000000,1,2008,-2.08485579314568,4.5,5,0,-0.260804743
1840,6,0.0096070483659784,0.4396221528993533,81648,30000000,1,2008,-0.4420329677304919,5.9,5,0,-0.300612233
1841,4,-1.001811187176,-0.835905265220396,7678,6000000,1,2008,-1.850166818086367,4.7,6,0,-0.993917167
1842,3,-0.1168202310767688,0.1231803028261409,63297,27000000,0,2008,0.2620339574474452,6.5,6,0,-0.897083259
1843,5,-0.9175263342141684,-0.4843549411267455,28065,8000000,1,2008,-0.324688480200836,6.0,6,0,-0.98641725
1844,1,-0.4118172164431792,-0.2143852607416867,43721,20000000,1,2008,0.6140674200364137,6.8,5,0,-0.82401865
1845,6,0.0096070483659784,-0.632427861762061,19478,30000000,1,2008,-0.324688480200836,6.0,5,1,0.395021967
1846,5,0.2203191807705572,-0.229163238264042,42864,35000000,1,2008,-0.0899995051415233,6.2,6,0,-0.180347571
1847,6,-0.7489566282905055,-0.4249843733210635,31508,12000000,1,2008,0.9661008826253824,7.1,6,0,-0.7376265
1848,5,-0.4118172164431792,-0.6860907159622591,16366,20000000,1,2008,0.6140674200364137,6.8,6,0,-0.98998005
1849,4,0.4310313131751361,-0.0620703535596974,52554,40000000,1,2008,-0.6767219427898046,5.7,5,0,-0.178659
1850,9,-0.8964551209737106,-0.6006819380530106,21319,8500000,1,2008,0.4967229325067578,6.7,6,0,-0.983500706
1851,3,-0.7489566282905055,-0.6807278793117895,16677,12000000,1,2008,0.8487563950957264,7.0,6,0,-0.317037417
1852,8,-1.1914521063401209,-0.5451567482957361,24539,1500000,0,2008,0.4967229325067578,6.7,2,0,-0.997681333
1853,4,-0.4118172164431792,0.1196625578849968,63093,20000000,1,2008,0.4967229325067578,6.7,5,0,-0.3392985
1854,4,0.0096070483659784,-0.3469732060968679,36032,30000000,1,2008,-0.324688480200836,6.0,5,1,1.008978
1855,4,1.18959498983162,-0.4730429770022821,28721,58000000,1,2008,-0.324688480200836,6.0,5,0,-0.4620825
