,budget,score_norm,votes,score,rating,budget_norm,votes_norm,year,isprofit,profitability_ratio
1740,27000000,0.613459892038604,18187,6.8,4,-0.1161885515425585,-0.6547340737859209,2007,0,-0.722707185
1741,28000000,0.0265222607885252,62276,6.3,4,-0.0740313035314034,0.1058656986029095,2007,1,0.539570679
1742,16500000,0.0265222607885252,40178,6.3,5,-0.5588396556596865,-0.2753571408864954,2007,0,-0.279247576
1743,45000000,0.1439097870385416,20111,6.4,6,0.6426419126582323,-0.6215422580932058,2007,0,-0.897608711
1744,40000000,-0.6778028967115687,38837,5.7,6,0.4318556726024571,-0.2984913533833409,2007,0,-0.37206255
1745,10000000,0.261297313288557,28844,6.5,5,-0.8328617677321943,-0.4708852277166572,2007,1,0.1043445
1746,15000000,1.5525601020387296,50295,7.6,5,-0.622075527676419,-0.1008240850844178,2007,1,1.015076267
1747,17000000,-1.8516781592117264,21178,4.7,6,-0.537761031654109,-0.6031349465837844,2007,0,-0.845482353
1748,8000000,-0.443027844211537,27335,5.9,6,-0.9171762637545045,-0.496917686074405,2007,0,-0.500957625
1749,65000000,-0.09086526546149,37538,6.2,0,1.4857868728813337,-0.3209010044149608,2007,0,-0.506745308
1750,6000000,-0.443027844211537,18857,5.9,6,-1.0014907597768146,-0.6431755932692269,2007,0,-0.996642333
1751,2000000,-0.6778028967115687,42332,5.7,6,-1.1701197518214348,-0.2381974885984974,2007,0,-0.5205195
1752,16000000,-1.0299654754616157,35022,5.4,5,-0.579918279665264,-0.364305686474665,2007,1,1.210927063
1753,35000000,-1.147353001711632,33769,5.3,5,0.2210694325466818,-0.3859217701872283,2007,1,0.251423371
1754,12000000,0.8482349445386357,58595,7.0,6,-0.7485472717098842,0.0423630616149242,2007,0,-0.670808833
1755,20000000,-0.443027844211537,21482,5.9,6,-0.4112892876206439,-0.5978905016926278,2007,0,-0.055856
1756,100000000,-0.795190422961585,33861,5.6,4,2.96129055327176,-0.3843346355491151,2007,0,-0.27993223
1757,10000000,-0.9125779492116004,6254,5.5,5,-0.8328617677321943,-0.8605957872272761,2007,1,2.1339647
1758,3800000,0.0265222607885252,13379,6.3,6,-1.0942367054013555,-0.7376791100907927,2007,0,-0.987359474
1759,28000000,-2.6733908429618363,16749,4.0,4,-0.0740313035314034,-0.6795416782381682,2007,1,0.772569929
1760,16000000,1.0830099970386673,25351,7.2,6,-0.579918279665264,-0.5311445895745851,2007,0,-0.794542813
1761,16000000,0.4960723657885886,24917,6.7,6,-0.579918279665264,-0.5386317247152494,2007,0,-0.426450813
1762,20000000,-2.438615790461805,10302,4.2,5,-0.4112892876206439,-0.7907618631502958,2007,0,-0.33253745
1763,11000000,0.4960723657885886,19672,6.7,6,-0.7907045197210393,-0.629115650551159,2007,0,-0.988909636
1764,3750000,0.0265222607885252,5408,6.3,6,-1.0963445678019137,-0.8751905253125344,2007,0,-0.965842133
1765,2600000,-1.147353001711632,5236,5.3,6,-1.1448254030147418,-0.8781577770272677,2007,0,-0.980769231
1766,13000000,-0.09086526546149,7027,6.2,5,-0.7063900236987292,-0.8472604059744338,2007,1,2.778610308
1767,15000000,-0.9125779492116004,15964,5.5,5,-0.622075527676419,-0.6930840770525036,2007,0,-0.764989267
1768,3500000,-0.3256403179615217,8895,6.0,6,-1.106883879804702,-0.815034672235353,2007,1,0.067229429
1769,10000000,0.7308474182886203,32130,6.9,6,-0.8328617677321943,-0.4141969187944839,2007,0,-0.9974225
1770,6000000,0.4960723657885886,12086,6.7,6,-1.0014907597768146,-0.7599852523416661,2007,0,-0.881268167
1771,45000000,-1.7342906329617107,13682,4.8,4,0.6426419126582323,-0.7324519166630938,2007,0,-0.804628044
1772,10000000,-0.443027844211537,24543,5.9,6,-0.8328617677321943,-0.5450837720484488,2007,1,1.0342161
1773,55000000,-0.443027844211537,18870,5.9,5,1.064214392769783,-0.6429513242442761,2007,0,-0.895358436
1774,85000000,0.8482349445386357,221241,7.0,5,2.328931833104434,2.848244587164465,2008,0,-0.108768588
1775,25000000,-0.9125779492116004,68405,5.5,5,-0.2005030475648686,0.2115999181354718,2008,1,0.92949556
1776,52000000,0.1439097870385416,157292,6.4,5,0.9377426487363176,1.745030750504679,2008,1,1.771731981
1777,65000000,0.7308474182886203,227558,6.9,6,1.4857868728813337,2.9572220818270845,2008,1,0.545673738
1778,35000000,0.613459892038604,201705,6.8,5,0.2210694325466818,2.5112199970538205,2008,1,1.318839
1779,30000000,1.0830099970386673,230079,7.2,6,0.0102831924909066,3.0007130212040773,2008,1,1.105748767
1780,30000000,-0.2082527917115064,133431,6.1,5,0.0102831924909066,1.333393580939257,2008,1,1.560288467
1781,15500000,0.9656224707886508,212733,7.1,5,-0.6009969036708416,2.7014691360659104,2008,1,0.497852194
1782,35000000,1.2003975232886828,162463,7.3,6,0.2210694325466818,1.8342380680447148,2008,0,-0.345386286
1783,35000000,-0.3256403179615217,52479,6.0,6,0.2210694325466818,-0.0631468888926873,2008,0,-0.772909743
1784,70000000,0.9656224707886508,185521,7.1,6,1.6965731129371089,2.2320223124535614,2008,0,-0.437219057
1785,90000000,0.3786848395385723,74370,6.6,4,2.5397180731602096,0.3145048976609629,2008,0,-0.208943856
1786,24000000,0.3786848395385723,156855,6.6,6,-0.2426602955760236,1.7374918609736412,2008,1,0.31074775
1787,75000000,0.9656224707886508,197529,7.1,5,1.907359352992884,2.439177885654248,2008,1,0.10770444
1788,70000000,-0.6778028967115687,64098,5.7,5,1.6965731129371089,0.1372978650229337,2008,1,0.003300586
1789,80000000,0.261297313288557,176842,6.5,5,2.1181455930486592,2.082296861103732,2008,1,0.6289901
1790,55000000,1.669947628288746,249856,7.7,5,1.064214392769783,3.34189521400804,2008,1,0.271851345
1791,85000000,-0.2082527917115064,256451,6.1,5,2.328931833104434,3.4556686155119145,2008,0,-0.056798494
1792,20000000,0.3786848395385723,85496,6.6,5,-0.4112892876206439,0.5064446800919122,2008,1,0.2425461
1793,35000000,0.4960723657885886,89728,6.7,5,0.2210694325466818,0.579452873445119,2008,0,-0.233858371
1794,30000000,-0.3256403179615217,65516,6.0,6,0.0102831924909066,0.1617604402060262,2008,0,-0.634819167
1795,37000000,0.8482349445386357,264758,7.0,6,0.3053839285689919,3.598976522455461,2008,1,0.631225595
1796,50000000,0.0265222607885252,66198,6.3,6,0.8534281527140075,0.1735259382842131,2008,0,-0.99678718
1797,90000000,-0.9125779492116004,166095,5.5,5,2.5397180731602096,1.8968953833232705,2008,1,0.111320411
1798,55000000,1.7873351545387612,209863,7.8,6,1.064214392769783,2.651957435942162,2008,0,-0.350185418
1799,20000000,1.2003975232886828,158842,7.3,6,-0.4112892876206439,1.7717705188641946,2008,1,0.5014296
1800,35000000,-1.0299654754616157,112236,5.4,5,0.2210694325466818,0.9677488129522022,2008,1,0.162554086
1801,19000000,0.261297313288557,75976,6.5,6,-0.4534465356317989,0.3422107479741127,2008,0,-0.557763947
1802,40000000,-0.443027844211537,58284,5.9,5,0.4318556726024571,0.0369978564795633,2008,1,0.15031835
1803,45000000,0.1439097870385416,176350,6.4,6,0.6426419126582323,2.073809141082517,2008,0,-0.192977067
1804,20000000,-0.2082527917115064,40439,6.1,5,-0.4112892876206439,-0.2708545089240221,2008,0,-0.999011
1805,15000000,-0.09086526546149,33768,6.2,5,-0.622075527676419,-0.385939021650686,2008,0,-0.572698133
1806,70000000,-0.795190422961585,85627,5.6,5,1.6965731129371089,0.5087046218048777,2008,0,-0.6781186
1807,35000000,-0.2082527917115064,149018,6.1,5,0.2210694325466818,1.6022921418552385,2008,1,1.293647029
1808,25100000,0.0265222607885252,42504,6.3,5,-0.1962873227637531,-0.2352302368837641,2008,1,0.017310478
1809,105000000,-1.3821280542116638,114171,5.1,5,3.172076793327536,1.0011303947429524,2008,0,-0.097293324
1810,60000000,0.9656224707886508,125638,7.1,4,1.275000632825558,1.1989529262129952,2008,1,1.38589585
1811,60000000,-1.7342906329617107,55602,4.8,5,1.275000632825558,-0.0092705685141276,2008,0,-0.670302017
1812,80000000,0.3786848395385723,158402,6.6,5,2.1181455930486592,1.7641798749427835,2008,1,0.263897963
1813,12000000,0.3786848395385723,119141,6.6,6,-0.7485472717098842,1.0868701681279802,2008,1,2.173947167
1814,21000000,1.4351725757887144,63483,7.5,6,-0.3691320396094888,0.1266882149964162,2008,0,-0.853241667
1815,20000000,1.4351725757887144,105844,7.5,5,-0.4112892876206439,0.857477458530251,2008,1,0.6711278
1816,35000000,-0.09086526546149,91597,6.2,6,0.2210694325466818,0.6116958586476575,2008,0,-0.123101743
1817,17500000,-0.09086526546149,71816,6.2,5,-0.5166824076485315,0.2704446599898641,2008,1,2.315301886
1818,37000000,-0.3256403179615217,29611,6.0,4,0.3053839285689919,-0.4576533552445613,2008,1,0.297473054
1819,55000000,0.3786848395385723,92275,6.6,5,1.064214392769783,0.6233923508720134,2008,0,-0.053176909
1820,8000000,-0.443027844211537,62603,5.9,6,-0.9171762637545045,0.1115069271535944,2008,1,1.1791055
1821,20000000,0.613459892038604,98463,6.8,6,-0.4112892876206439,0.7301444067485832,2008,1,0.32078245
1822,55000000,-0.5604153704615534,70423,5.8,6,1.064214392769783,0.2464133713932155,2008,0,-0.391402727
1823,40000000,0.3786848395385723,132882,6.6,5,0.4318556726024571,1.3239225275009512,2008,1,0.80665765
1824,2900000,1.4351725757887144,68957,7.5,6,-1.1321782286113953,0.221122725964151,2008,0,-0.987325517
1825,9000000,0.4960723657885886,78985,6.7,5,-0.8750190157433494,0.3941204015184886,2008,1,2.498588111
1826,55000000,0.261297313288557,56120,6.5,4,1.064214392769783,-0.0003343104430121,2008,0,-0.856854418
