budget,company,country,director,genre,gross,name,rating,released,star,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
13000000,Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,8475466,Wise Guys,R,18.04.1986 00:00,Danny DeVito,George Gallo,1986,0,-0.348041077,-30
17000000,HandMade Films,UK,Jim Goddard,Adventure,2315683,Shanghai Surprise,PG-13,29.08.1986 00:00,Sean Penn,John Kohn,1986,0,-0.863783353,-90
16000000,Lorimar Productions,USA,Sidney Lumet,Drama,3800000,Power,R,31.01.1986 00:00,Richard Gere,David Himmelstein,1986,0,-0.7625,-80
20000000,De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,22905500,Crimes of the Heart,PG-13,23.01.1987 00:00,Diane Keaton,Beth Henley,1986,1,0.145275,10
6000000,Golan-Globus Productions,USA,J. Lee Thompson,Action,9947631,Murphy's Law,R,18.04.1986 00:00,Charles Bronson,Gail Morgan Hickman,1986,1,0.6579385,70
4000000,"Cannon Group, The",USA,Sam Firstenberg,Action,4679650,Avenging Force,R,12.09.1986 00:00,Michael Dudikoff,James Booth,1986,1,0.1699125,20
18000000,Rastar Pictures,USA,Gene Saks,Comedy,11957943,Brighton Beach Memoirs,PG-13,25.12.1986 00:00,Blythe Danner,Neil Simon,1986,0,-0.335669833,-30
25000000,De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,4007250,Tai-Pan,R,7.11.1986 00:00,Bryan Brown,John Briley,1986,0,-0.83971,-80
17000000,Escalante Productions,USA,Dick Richards,Action,2793214,Heat,R,13.03.1987 00:00,Burt Reynolds,William Goldman,1986,0,-0.835693294,-80
14000000,Columbia Pictures Corporation,USA,Richard Pryor,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",R,2.05.1986 00:00,Richard Pryor,Rocco Urbisci,1986,1,0.288153571,30
3401376,Cinema Group Ventures,USA,Renny Harlin,Action,3388020,Born American,R,29.08.1986 00:00,Mike Norris,Renny Harlin,1986,0,-0.003926646,0
10000000,Paramount Pictures,USA,Michelle Manning,Action,6947787,Blue City,R,2.05.1986 00:00,Judd Nelson,Ross Macdonald,1986,0,-0.3052213,-30
