,rating,year,budget,country,budget_norm,isprofit,profitability_ratio
95,6,1987,5000000,1,-1.0911490490015243,0,-0.82835
96,6,1987,14000000,1,-0.7143509465368019,1,0.445750143
97,6,1988,39000000,1,0.3323104491985381,1,2.28595641
98,6,1988,28000000,1,-0.1282205649250115,1,1.964601857
99,4,1988,35000000,1,0.1648446258808837,1,0.6362818
100,6,1988,3000000,1,-1.1748819606603516,0,-0.630512667
101,6,1988,4000000,1,-1.1330155048309378,1,2.252232
102,6,1988,3500000,1,-1.1539487327456446,1,0.253004571
103,6,1988,30000000,1,-0.0444876532661842,1,0.280453533
104,6,1988,3000000,0,-1.1748819606603516,1,2.696911667
105,6,1988,15000000,1,-0.6724844907073882,1,1.306929533
106,6,1988,28000000,1,-0.1282205649250115,1,1.285714286
107,0,1988,12500000,1,-0.7771506302809222,1,2.84742768
108,6,1988,17000000,1,-0.5887515790485611,0,-0.411364353
109,6,1988,5000000,1,-1.0911490490015243,1,2.5537514
110,6,1988,13000000,1,-0.7562174023662155,1,2.512427385
111,6,1988,6000000,1,-1.0492825931721106,1,1.132202167
112,6,1988,63000000,1,1.3371053891044644,0,-0.147371254
113,6,1988,13000000,1,-0.7562174023662155,1,2.797684538
114,4,1988,24000000,1,-0.2956863882426659,1,0.72730125
115,6,1988,7500000,1,-0.9864829094279904,1,1.5159508
116,4,1988,10000000,0,-0.8818167698544563,0,-0.6083697
117,0,1988,31000000,1,-0.0026211974367706,1,1.391978903
118,6,1988,31000000,1,-0.0026211974367706,1,0.222686935
119,5,1988,32000000,1,0.0392452583926429,1,0.885267438
120,6,1988,23000000,1,-0.3375528440720794,1,0.795328304
121,6,1988,20000000,1,-0.4631522115603202,0,-0.1181025
122,5,1988,8000000,1,-0.9655496815132836,1,1.804159375
123,4,1988,46630000,0,0.6517515071769638,0,-0.826654021
124,6,1988,13000000,0,-0.7562174023662155,0,-0.297328231
125,5,1988,10500000,1,-0.8608835419397495,1,0.344236952
126,6,1988,3000000,1,-1.1748819606603516,1,3.343352333
127,6,1988,22000000,1,-0.3794192999014931,0,-0.202254591
128,6,1988,1100000,1,-1.2544282267362372,0,-0.389652727
129,6,1988,10000000,1,-0.8818167698544563,1,1.1486757
130,4,1988,13000000,1,-0.7562174023662155,0,-0.505837538
131,5,1988,4500000,1,-1.112082276916231,0,-0.152601556
132,5,1988,22000000,1,-0.3794192999014931,1,0.123658136
133,6,1988,2000000,1,-1.216748416489765,0,-0.6374345
134,6,1988,7000000,1,-1.007416137342697,1,1.799290143
135,4,1988,6000000,1,-1.0492825931721106,0,-0.0532475
136,6,1988,3000000,1,-1.1748819606603516,1,1.427617
