,rating,country,votes_norm,popularity_norm,score,votes,budget_norm,company,score_norm,genre,year,writer,popularity,budget,isprofit,profitability_ratio
267,4,1,3.0683804635306404,2.08825806819679,7.0,342500,0.0462068106760143,9,0.7652306567790664,4,2013,41,18.474368,37000000,1,3.064705919
268,4,1,3.6020699062161885,1.5797934042500132,7.3,386428,0.1407111128011629,1,1.1708631592543948,5,2013,129,16.478036,40000000,1,2.752945175
269,4,1,1.566485940806407,0.1789851393530151,6.5,218879,1.0857541340526489,10,0.0891764859868523,0,2013,83,10.978188,70000000,1,0.413223429
270,4,0,1.6840293153734864,0.2390241673848526,7.8,228554,-0.7413290403668905,10,1.8469173300466089,4,2013,392,11.213913,12000000,1,0.276910083
271,4,1,1.1459661657273033,-0.4314352053365275,6.7,184266,0.7707397936354868,19,0.3595981543037382,0,2013,482,8.581558,60000000,0,-0.233318283
272,4,1,1.6387735975169109,0.1477370825363262,7.5,224829,0.1407111128011629,10,1.4412848275712806,0,2013,375,10.855502,40000000,1,2.127390025
273,4,1,2.9753784446871268,0.2899984419639246,6.6,334845,-0.1113003595325666,1,0.2243873201452946,4,2013,431,11.414048,32000000,1,2.170943813
274,4,1,1.5786108284361688,0.839185472896988,6.6,219877,-0.2373060956994314,17,0.2243873201452946,0,2013,198,13.570264,28000000,1,0.028428036
275,4,1,0.5588931997499982,0.4431242611634018,6.5,135944,-0.5838218701583096,15,0.0891764859868523,7,2013,133,12.01525,17000000,1,2.190579765
276,4,1,3.362074885937316,1.2626166876098983,6.6,366674,2.5033186659298776,15,0.2243873201452946,0,2013,342,15.232738,115000000,0,-0.190868548
277,4,0,1.4298683442165556,-0.1133604184330114,7.0,207634,-0.4893175680331609,17,0.7652306567790664,0,2013,436,9.830382,20000000,1,0.30024255
278,3,1,0.2981352205941086,1.0342656403261068,5.9,114481,0.7707397936354868,10,-0.7220885189638041,0,2013,206,14.336187,60000000,0,-0.480576317
279,3,1,-0.0324684288859299,-0.6818394045649016,6.7,87269,-0.2373060956994314,10,0.3595981543037382,6,2013,88,7.598422,28000000,1,1.548182857
280,4,1,1.245589490941779,0.997442212532148,6.7,192466,0.4557254532183249,13,0.3595981543037382,0,2013,331,14.191611,50000000,0,-0.49735544
281,3,1,1.307866218386828,0.5666675032547496,6.7,197592,2.3458114957212968,10,0.3595981543037382,0,2013,142,12.500305,110000000,0,-0.438752809
282,4,0,0.0110985521164006,-0.8953032689514153,6.8,90855,-0.4263146999497285,10,0.4948089884621806,5,2013,43,6.760321,22000000,0,-0.485143818
283,4,1,1.0028001578825003,-0.2693332680931517,6.5,172482,-0.3003089637828637,11,0.0891764859868523,0,2013,77,9.218002,26000000,1,0.918280423
284,4,0,0.0119125475785188,-0.777506046469351,6.8,90922,-0.7413290403668905,6,0.4948089884621806,6,2013,479,7.222816,12000000,0,-0.858143583
285,2,1,0.8914042714323139,1.1416690876213085,7.2,163313,3.133347346764202,10,1.0356523250959524,2,2013,72,14.757874,135000000,1,0.386432778
286,4,1,0.3706780102106495,0.1059202720100984,6.4,120452,0.2982182830097439,10,-0.04603434817159,0,2013,29,10.691321,45000000,0,-0.732215578
287,1,1,-0.2218985370254551,-0.8721454854888605,7.2,71677,-1.117771177165399,10,1.0356523250959524,9,2013,186,6.851243,50000,1,0.37754
288,3,1,3.3406072742721964,-1.6191677678099794,6.7,364907,2.660825836138459,16,0.3595981543037382,0,2013,294,3.918287,120000000,1,0.104640433
289,3,1,1.2961908506391315,0.0394225753057341,6.9,196631,-0.016796057407418,13,0.6300198226206241,4,2013,244,10.430238,35000000,1,0.896590343
290,4,1,-0.6300382915687601,-0.7795405856820705,4.8,38083,-0.4893175680331609,10,-2.209407694706676,8,2013,7,7.214828,20000000,1,0.71709725
291,3,1,3.2130772688116656,0.8916036386624532,7.8,354410,0.6132326234269059,10,1.8469173300466089,3,2013,39,13.776068,55000000,1,0.947288273
292,4,1,0.3608371695492195,-0.5543516320795394,7.1,119642,-1.0405926637631944,10,0.9004414909375088,4,2013,422,8.098964,2500000,1,1.7407876
293,3,1,0.962792888378687,-2.516836115477916,6.3,169189,0.7077369255520545,16,-0.1812451823300335,4,2013,477,0.393865,58000000,0,-0.229779931
294,3,0,-0.3950851834806201,0.1442703683119491,6.8,57422,-0.7728304744086067,10,0.4948089884621806,4,2013,121,10.841891,11000000,0,-0.686171182
295,2,1,0.0481900169797902,0.0159861506440415,5.9,93908,1.7157828148869727,5,-0.7220885189638041,1,2013,290,10.338222,90000000,0,-0.238227178
296,3,1,0.5652958207729285,0.195322071524054,6.7,136471,1.5267742106366755,13,0.3595981543037382,0,2013,233,11.04233,84000000,0,-0.365921905
297,4,1,0.5426740364376414,-0.172961363409531,6.4,134609,0.0777082447177305,10,-0.04603434817159,0,2013,110,9.596377,38000000,1,0.105924605
298,4,0,-0.06901318037924,1.1958209925481382,7.1,84261,-0.9618390786589038,10,0.9004414909375088,4,2013,236,14.970485,5000000,0,-0.9931358
299,4,1,1.043317693198388,0.5594238508749615,5.3,175817,1.7787856829704052,16,-1.5333535239144618,0,2013,437,12.471865,92000000,0,-0.2679435
300,3,1,0.9656236487170984,0.1202651997766957,4.9,169422,2.9758401765556206,1,-2.0741968605482324,0,2013,141,10.747642,130000000,0,-0.534445408
301,3,1,0.902277792903894,0.595228226166405,7.3,164208,-0.5523204361165933,10,1.1708631592543948,6,2013,489,12.61244,18000000,1,0.855860056
302,4,1,0.0059351480656503,-0.0964682414593026,6.5,90430,-0.4263146999497285,10,0.0891764859868523,0,2013,459,9.896704,22000000,0,-0.100737409
303,4,1,-0.2005038204763463,-0.8458979429890623,7.2,73438,-0.33181039782458,10,1.0356523250959524,6,2013,476,6.954296,25000000,1,0.50954012
304,3,1,0.1128479848811853,-0.2307012194993031,5.6,99230,2.9758401765556206,17,-1.1277210214391336,0,2013,383,9.369679,130000000,0,-0.741393423
305,4,1,-0.3062138878777066,0.2593102145400196,5.9,64737,-0.7098276063251743,10,-0.7220885189638041,4,2013,235,11.29356,13000000,1,0.975567692
