,budget_norm,year,budget,genre,popularity_norm,votes_norm,country,popularity,votes,isprofit,profitability_ratio
1196,-0.6307218074845337,2002,15000000,6,-0.5695025350425444,-0.6459694052660472,1,5.951492,18985,1,0.277204933
1197,0.011394465944085,2002,30000000,4,0.8616415982890842,0.8979626359068741,1,11.066473,112029,1,1.167209567
1198,0.8675494971822433,2002,50000000,5,0.4641452247564139,-0.194939604192134,1,9.645801,46166,0,-0.36250262
1199,-0.6949334348273956,2002,13500000,6,0.5933314342366861,-0.3226603053755308,1,10.107519,38469,1,0.174443556
1200,0.1826254721917166,2002,34000000,2,1.0635727285816574,-0.6452724753648256,1,11.788185,19027,0,-0.310496353
1201,-0.8447605652940733,2002,10000000,4,-0.6133382369763737,-0.6079867256494699,1,5.794821,21274,1,2.2983713
1202,-0.7591450621702575,2002,12000000,6,0.774058049930149,0.7372539193989881,1,10.753445,102344,1,1.63309425
1203,0.011394465944085,2002,30000000,0,0.7872945735183411,-0.1920357296037106,1,10.800753,46341,0,-0.4225798
1204,-0.5451063043607178,2002,17000000,4,0.1796296364691195,0.108706116342487,1,8.628928,64465,1,1.232401294
1205,-0.6307218074845337,2002,15000000,1,-0.935337070286482,-0.4535835653907317,1,4.643981,30579,1,2.187418333
1206,1.2956270128013223,2002,60000000,0,-0.549435385548406,0.1528781972246752,1,6.023213,67127,0,-0.157533367
1207,-0.7163373106083495,2002,13000000,4,0.3549181640493652,-0.4634899261295245,1,9.255418,29982,1,1.228629769
1208,-1.2514342051321985,2002,500000,6,0.1150614334496088,-0.4889278675241129,1,8.398158,28449,0,-0.699446
1209,-1.1872225777893366,2002,2000000,4,-0.2438599364773202,-0.4061259578313559,1,7.115355,33439,0,-0.7948795
1210,-0.4166830496749941,2002,20000000,4,-0.4117476167287575,-0.4988840089701358,1,6.515316,27849,0,-0.5706812
1211,-0.4166830496749941,2002,20000000,0,1.5013379823118274,-0.5551362081401651,1,13.35278,24459,0,-0.3800686
1212,-0.6307218074845337,2002,15000000,0,-0.8401792019382022,-0.66025646824109,1,4.98408,18124,0,-0.396027467
1213,1.509665770610862,2002,65000000,4,-0.7781630055908799,-0.3265597941085565,1,5.205729,38234,1,1.142097338
1214,0.6535107393727038,2002,45000000,6,-0.0470901774249468,0.042099530068594,1,7.81862,60451,1,0.484856622
1215,0.4394719815631641,2002,40000000,9,0.8984001752622363,-0.6489728412689307,1,11.19785,18804,0,-0.98486095
1216,-0.5879140559226258,2002,16000000,4,0.5596995620724045,-0.5781514884495547,1,9.987317,23072,0,-0.697538563
1217,0.2254332237536246,2002,35000000,1,1.5341990203151747,-0.6007519295320266,0,13.470227,21710,1,1.319216
1218,-0.9089721926369352,2002,8500000,6,0.1215674976035834,-0.677397625097326,1,8.421411,17091,1,2.360461882
1219,-0.4166830496749941,2002,20000000,4,-0.7601280043765469,-0.4692313010300643,1,5.270187,29636,1,1.8199081
1220,0.8675494971822433,2002,50000000,0,-0.5972662747722453,-0.3546693001244944,1,5.852263,36540,0,-0.47600966
1221,0.011394465944085,2002,30000000,4,-0.7174769528374164,-0.6929623928912751,1,5.422624,16153,1,0.7144141
1222,2.3658208018490203,2002,85000000,0,-0.8587063618781551,-0.0513720445404841,1,4.917863,54818,0,-0.551968094
1223,1.7237045284204018,2002,70000000,0,0.6763627242295968,-0.232822722394251,1,10.404277,43883,0,-0.527062857
1224,-0.5879140559226258,2002,16000000,1,-0.9311104928508848,-0.6452392882266721,1,4.659087,19029,1,1.522720625
1225,1.7237045284204018,2002,70000000,6,1.715015450079658,-0.1991875578757704,1,14.116474,45910,0,-0.727474071
1226,-0.2026442918654545,2002,25000000,0,-0.8336963607371705,-0.4526377319533595,1,5.00725,30636,1,0.5292174
1227,-0.8447605652940733,2002,10000000,5,-0.7378938455987663,-0.3536570924108154,0,5.349653,36601,0,-0.188864
1228,-0.1170287887416387,2002,27000000,6,-1.0239656515278448,-0.6936925099306501,1,4.327218,16109,1,1.577741333
1229,3.007937075277639,2002,100000000,4,0.2565244709928444,-0.6085509069980778,1,8.903754,21240,0,-0.9557992
1230,-0.7377411863893034,2002,12500000,3,0.8275572982343379,-0.4902221659120959,1,10.944654,28371,1,0.6862516
1231,1.0815882549917828,2002,55000000,4,0.0393582441859266,-0.3665668891524917,0,8.127591,35823,0,-0.848076091
1232,-0.0314132856178228,2002,29000000,4,0.6103684080637044,-0.7118126873624118,0,10.16841,15017,0,-0.416200517
1233,-0.5451063043607178,2002,17000000,9,-0.9523141680661538,-0.773125925100836,1,4.583304,11322,0,-0.244656353
1234,-1.1016070746655209,2002,4000000,4,-0.3684264570896498,-0.8140124793058366,1,6.670148,8858,0,-0.85948525
1235,-0.2026442918654545,2002,25000000,6,-1.2595541152945524,-0.8254620419687629,1,3.485213,8168,0,-0.57089268
1236,0.2254332237536246,2002,35000000,4,-0.2740164797439748,-0.8921515960880395,1,7.007574,4149,0,-0.514600114
1237,-0.8447605652940733,2002,10000000,6,-0.0733642906309405,-0.8678917980978971,0,7.724715,5611,0,-0.8516025
1238,-0.8019528137321653,2002,11000000,4,0.1601170398994714,-0.7481857907785487,0,8.559189,12825,0,-0.562341455
1239,1.2956270128013223,2002,60000000,4,0.5429384657345628,0.257666585944066,1,9.927412,73442,0,-0.464629183
1240,-0.973183819979797,2002,7000000,3,-0.0140861643739634,-0.765874535414316,1,7.936578,11759,0,-0.705419143
1241,-0.7377411863893034,2002,12500000,6,-0.8796778075639954,-0.7106677310961191,1,4.84291,15086,1,0.124876
1242,-0.8447605652940733,2002,10000000,0,-1.6610484740633704,-0.8547994720963771,1,2.050252,6400,0,-0.3955382
1243,-0.8875683168559811,2002,9000000,4,-0.6857250206830499,-0.4646680695339705,1,5.536107,29911,0,-0.479833
1244,-1.1872225777893366,2002,2000000,4,-1.6228758151122291,-0.8135146722335355,1,2.186683,8888,1,0.253223
1245,-0.6735295590464416,2002,14000000,0,-1.1409586915346706,-0.7903666433715323,1,3.909079,10283,1,0.820209357
1246,-0.8447605652940733,2002,10000000,4,0.2813377765203494,-0.7447177348415174,1,8.992438,13034,1,2.0307416
1247,-0.8019528137321653,2002,11000000,4,-0.9138468853867135,-0.7294682448600257,0,4.720788,13953,0,-0.724165364
1248,-0.8019528137321653,2002,11000000,2,-0.8288813752288168,-0.8241511500117032,1,5.024459,8247,1,0.037422182
1249,-0.2026442918654545,2002,25000000,2,-0.7401053422259978,-0.7495796505809919,1,5.341749,12741,1,0.60434788
1250,-0.7591450621702575,2002,12000000,4,-1.3863791380292263,-0.7457631296933498,1,3.031934,12971,0,-0.972168667
1251,-1.015991571541705,2003,6000000,6,-0.4185569782440577,-0.2913648340968656,1,6.490979,40355,0,-0.9997
1252,-1.2086264535702904,2003,1500000,6,1.7887147503195255,0.2375551802230998,1,14.379879,72230,1,2.066453333
1253,-0.7334604112331127,2003,12600000,9,1.7047313192559583,0.5927571198790428,1,14.079718,93636,1,0.223632619
1254,-0.4166830496749941,2003,20000000,1,2.575885559162334,0.0852594032371032,1,17.193267,63052,1,2.37032865
1255,2.066166540915665,2003,78000000,0,0.959313701036694,2.116179509673157,1,11.415558,185444,0,-0.994463064
1256,0.2254332237536246,2003,35000000,4,2.78801268497527,2.7614370367898995,1,17.95142,224330,1,1.321747914
