budget,company,director,gross,name,released,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
2000000,Paragon Arts International,Kevin Tenney,7369373,Witchboard,13.03.1987 00:00,5.7,Todd Allen,4744,Kevin Tenney,1986,1,2.6846865,270
14000000,Touchstone Pictures,Paul Mazursky,62134225,Down and Out in Beverly Hills,31.01.1986 00:00,6.1,Nick Nolte,13569,René Fauchois,1986,1,3.438158929,340
8500000,Capital Equipment Leasing,Trevor Nunn,277646,Lady Jane,7.02.1986 00:00,7.2,Helena Bonham Carter,5364,Chris Bryant,1986,0,-0.967335765,-100
18000000,Producers Sales Organization (PSO),Hal Ashby,1305114,8 Million Ways to Die,25.04.1986 00:00,5.7,Jeff Bridges,3607,Lawrence Block,1986,0,-0.927493667,-90
8000000,Cannon Group,J. Lee Thompson,11834302,Firewalker,21.11.1986 00:00,5,Chuck Norris,4752,Robert Gosnell,1986,1,0.47928775,50
3300000,Amaretto Films,Richard Wenk,4941117,Vamp,18.07.1986 00:00,5.9,Chris Makepeace,3909,Donald P. Borchers,1986,1,0.497308182,50
15000000,Warner Bros.,Harold Ramis,12308521,Club Paradise,11.07.1986 00:00,4.9,Robin Williams,5049,Harry Shearer,1986,0,-0.179431933,-20
40000000,Universal Pictures,Ivan Reitman,49851591,Legal Eagles,20.06.1986 00:00,5.9,Robert Redford,8374,Ivan Reitman,1986,1,0.246289775,20
13000000,Metro-Goldwyn-Mayer (MGM),Brian De Palma,8475466,Wise Guys,18.04.1986 00:00,5.6,Danny DeVito,4573,George Gallo,1986,0,-0.348041077,-30
17000000,HandMade Films,Jim Goddard,2315683,Shanghai Surprise,29.08.1986 00:00,3.1,Sean Penn,4339,John Kohn,1986,0,-0.863783353,-90
16000000,Lorimar Productions,Sidney Lumet,3800000,Power,31.01.1986 00:00,5.7,Richard Gere,2287,David Himmelstein,1986,0,-0.7625,-80
20000000,De Laurentiis Entertainment Group (DEG),Bruce Beresford,22905500,Crimes of the Heart,23.01.1987 00:00,6.4,Diane Keaton,3079,Beth Henley,1986,1,0.145275,10
6000000,Golan-Globus Productions,J. Lee Thompson,9947631,Murphy's Law,18.04.1986 00:00,5.9,Charles Bronson,3561,Gail Morgan Hickman,1986,1,0.6579385,70
4000000,"Cannon Group, The",Sam Firstenberg,4679650,Avenging Force,12.09.1986 00:00,5.9,Michael Dudikoff,1808,James Booth,1986,1,0.1699125,20
18000000,Rastar Pictures,Gene Saks,11957943,Brighton Beach Memoirs,25.12.1986 00:00,6.9,Blythe Danner,2720,Neil Simon,1986,0,-0.335669833,-30
25000000,De Laurentiis Entertainment Group (DEG),Daryl Duke,4007250,Tai-Pan,7.11.1986 00:00,5.5,Bryan Brown,1340,John Briley,1986,0,-0.83971,-80
17000000,Escalante Productions,Dick Richards,2793214,Heat,13.03.1987 00:00,5.5,Burt Reynolds,1358,William Goldman,1986,0,-0.835693294,-80
14000000,Columbia Pictures Corporation,Richard Pryor,18034150,"Jo Jo Dancer, Your Life Is Calling",2.05.1986 00:00,6.3,Richard Pryor,1288,Rocco Urbisci,1986,1,0.288153571,30
3401376,Cinema Group Ventures,Renny Harlin,3388020,Born American,29.08.1986 00:00,4.3,Mike Norris,1509,Renny Harlin,1986,0,-0.003926646,0
