,budget,score_norm,rating,budget_norm,votes_norm,genre,score,runtime,runtime_norm,votes,year,country,isprofit,profitability_ratio
154,27000000,1.582632238297515,5,-0.1040235432938989,1.058401094467743,4,7.6,97,-0.5842292558108413,115848,1989,1,1,1.641481481
155,10000000,0.7558389551693294,4,-0.8228754529797013,0.6234221372276485,1,6.9,90,-1.081708827180084,90901,1989,1,1,3.0485039
156,6500000,1.9369722167810248,6,-0.9708743755620723,0.182567206580334,4,7.9,120,1.0503464786880992,65617,1989,1,1,3.237760769
157,18000000,1.9369722167810248,6,-0.4845922013628531,0.9077355567473094,3,7.9,122,1.1924834990793112,107207,1989,1,1,0.490555556
158,37000000,0.2833856505246509,4,0.3188305212271612,1.6991611738206207,0,6.5,108,0.1975243563408258,152597,1989,1,1,2.040398324
159,31000000,0.8739522813304985,5,0.0651180825145251,-0.3004831414125942,4,7.0,124,1.3346205194705234,37913,1989,1,1,2.227349355
160,32000000,0.40149897668582,5,0.1074034889666311,0.4185825657498502,0,6.6,133,1.9742371112309784,79153,1989,0,1,0.083344219
161,27800000,-1.0158609372482137,4,-0.0701952181322141,-0.1367579476624644,0,5.4,107,0.1264558461452197,47303,1989,1,1,0.878059317
162,10000000,-0.0709543279588574,5,-0.8228754529797013,-0.8623622009011921,0,6.2,100,-0.371023725224023,5688,1989,1,0,-0.722272
163,22500000,0.9920656074916676,6,-0.294307872328376,-0.3436201093931929,5,7.1,113,0.5528669073188563,35439,1989,1,0,-0.170163689
164,18000000,0.6377256290081593,6,-0.4845922013628531,-0.2623154684499708,4,6.8,103,-0.1578181946372047,40102,1989,1,1,1.606054833
165,6000000,-1.3702009157317228,6,-0.9920170787881254,-0.3945684604195911,8,5.1,89,-1.1527773373756902,32517,1989,1,1,2.6947265
166,5000000,-1.9607675465375705,6,-1.0343024852402314,-0.5179464658483364,1,4.6,100,-0.371023725224023,25441,1989,1,1,1.8687952
167,30000000,-0.4252943064423658,6,0.0228326760624191,-0.6895004787671359,4,5.9,116,0.7660724379056746,15602,1989,1,1,1.028829
168,13800000,0.5196123028469902,0,-0.6621909084616985,-0.4538338420550215,2,6.7,84,-1.5081198883537206,29118,1989,0,1,0.963770072
169,6000000,-0.3071809802811967,4,-0.9920170787881254,-0.7643711903712954,1,6.0,96,-0.6552977660064474,11308,1989,1,1,1.379816667
170,18000000,-0.8977476110870444,4,-0.4845922013628531,-0.8230611799520129,1,5.5,105,-0.0156811742459925,7942,1989,1,0,-0.5272865
171,19000000,0.6377256290081593,6,-0.4423067949107471,-0.4011767509873546,5,6.8,113,0.5528669073188563,32138,1989,1,1,2.082711211
172,2500000,1.3464055859751771,6,-1.1400160013704963,-0.4921061317548654,5,7.4,102,-0.2288867048328108,26923,1989,1,1,0.8917408
173,24000000,0.1652723243634818,6,-0.230879762650217,-0.4022054822366898,5,6.4,109,0.2685928665364319,32079,1989,1,0,-0.079173042
174,5000000,0.8739522813304985,5,-1.0343024852402314,-0.5709871516191453,4,7.0,97,-0.5842292558108413,22399,1989,1,1,0.2314314
175,13000000,0.6377256290081593,6,-0.6960192336233832,-0.6345941278492276,6,6.8,114,0.6239354175144625,18751,1989,1,1,0.294117615
