,votes,runtime_norm,score,rating,country,runtime,year,votes_norm,genre,score_norm,budget_norm,budget,popularity,popularity_norm,isprofit,profitability_ratio
45,4573,-0.3823151364754528,5.6,5,1,100,1986,-0.9039136818498856,4,-0.7998272451035787,-0.7458227098179959,13000000,1.884204,-1.7764564902972189,0,-0.348041077
46,2287,0.399540715852098,5.7,5,1,111,1986,-0.9403635531112882,6,-0.6809033642104544,-0.6179264716026508,16000000,1.828322,-1.7921845174400366,0,-0.7625
47,3079,-0.0269261126902024,6.4,4,1,105,1986,-0.927735251256944,4,0.1515638020414117,-0.4473981539821905,20000000,2.524937,-1.5961217489619242,1,0.145275
48,3561,-0.3823151364754528,5.9,5,1,100,1986,-0.9200498453304364,0,-0.4430556024242068,-1.044247265653801,6000000,2.722264,-1.5405839297712944,1,0.6579385
49,1340,1.5367855919648994,5.5,5,1,127,1986,-0.9554633029295508,1,-0.918751125996702,-0.2342377569566153,25000000,2.456811,-1.6152958582839168,0,-0.83971
50,120345,-0.3112373317184028,6.6,5,1,101,1987,0.942050664464687,0,0.3894115638276583,-0.1489735981463852,27000000,9.389976,0.3360481756739404,1,0.411929815
51,146748,-0.6666263555036532,7.1,3,1,96,1987,1.363041894086216,1,0.9840309682932769,-0.3322915395883799,22700000,9.10373,0.2554840430816393,1,0.679272379
52,204328,0.3284629110950479,7.6,5,1,110,1987,2.2811449506179606,0,1.5786503727588954,-0.6605585510077658,15000000,13.183804,1.4038236625781564,1,3.3471418
53,234254,0.9681631539084988,7.9,5,1,119,1987,2.758309800735518,5,1.9354220154382675,-0.2342377569566153,25000000,11.062203,0.8066976092116168,1,2.05081816
54,123325,-1.5195600125882542,7.8,5,1,84,1987,0.9895662446742146,4,1.816498134545143,-1.1465642562260774,3600000,13.520764,1.4986612851765566,1,0.64529
55,30370,0.0441516920668476,5.4,3,1,106,1987,-0.4925850165259987,0,-1.0376750068898253,-0.3621339951719605,22000000,7.106954,-0.3065099286109764,0,-0.211983182
56,21420,-1.6617156221023544,7.2,4,1,82,1987,-0.635291205410318,0,1.1029548491864012,-0.788454789223111,12000000,7.075534,-0.315353109113237,0,-0.685834167
