budget,gross,name,released,runtime,score,votes,year,isprofit,profitability_ratio,profitability_ratio_bucket
15000000,80640528,Moonstruck,15.01.1988 00:00,102,7.1,38600,1987,1,4.3760352,440
28000000,153665000,Beverly Hills Cop II,20.05.1987 00:00,100,6.5,90969,1987,1,4.488035714,450
23000000,43984230,The Last Emperor,15.04.1988 00:00,163,7.8,76408,1987,1,0.912357826,90
13000000,123922370,"Good Morning, Vietnam",15.01.1988 00:00,121,7.3,106924,1987,1,8.53249,850
2600000,3130592,Maurice,18.09.1987 00:00,140,7.7,11837,1987,1,0.204073846,20
11000000,167780960,3 Men and a Baby,25.11.1987 00:00,102,5.9,39544,1987,1,14.25281455,1430
3000000,14182492,Prince of Darkness,23.10.1987 00:00,102,6.7,28064,1987,1,3.727497333,370
6500000,54215416,La Bamba,24.07.1987 00:00,108,6.8,22839,1987,1,7.340833231,730
5000000,3369307,Near Dark,1988,94,7,27485,1987,0,-0.3261386,-30
15000000,35509515,No Way Out,14.08.1987 00:00,114,7.1,28684,1987,1,1.367301,140
20000000,51249404,Broadcast News,25.12.1987 00:00,133,7.2,22802,1987,1,1.5624702,160
2500000,13539458,Túnel al infierno,15.05.1987 00:00,85,6,11435,1987,1,4.4157832,440
17000000,15681020,Superman IV: The Quest for Peace,24.07.1987 00:00,90,3.6,35866,1987,0,-0.077587059,-10
3500000,14000000,Creepshow 2,1.05.1987 00:00,92,6,17500,1987,1,3,300
3000000,7888703,Teen Wolf Too,20.11.1987 00:00,95,3.2,8905,1987,1,1.629567667,160
12000000,40050884,Roxanne,19.06.1987 00:00,107,6.6,34794,1987,1,2.337573667,229
12000000,66995879,The Secret of My Succe$s,10.04.1987 00:00,111,6.5,24685,1987,1,4.582989917,459
20000000,57387516,Dragnet,26.06.1987 00:00,106,5.9,27387,1987,1,1.8693758,190
18000000,39321715,Blind Date,27.03.1987 00:00,95,5.9,17903,1987,1,1.184539722,120
1000000,1576615,The Garbage Pail Kids Movie,22.08.1987 00:00,100,2.7,6348,1987,1,0.576615,60
14000000,57915972,Throw Momma from the Train,11.12.1987 00:00,88,6.2,28550,1987,1,3.136855143,310
3000000,3221568,Barfly,16.10.1987 00:00,100,7.3,15647,1987,1,0.073856,10
6000000,3685862,Three O'Clock High,9.10.1987 00:00,97,7.2,8970,1987,0,-0.385689667,-40
15000000,13290368,The Pick-up Artist,18.09.1987 00:00,81,5.2,5348,1987,0,-0.113975467,-10
16000000,14792779,Radio Days,30.01.1987 00:00,88,7.6,26467,1987,0,-0.075451313,-10
3000000,23509382,Ernest Goes to Camp,22.05.1987 00:00,92,5.5,9526,1987,1,6.836460667,680
17000000,10278549,Someone to Watch Over Me,9.10.1987 00:00,106,6.1,7854,1987,0,-0.395379471,-40
29000000,5899797,Cry Freedom,6.11.1987 00:00,157,7.5,10692,1987,0,-0.796558724,-80
6000000,12423831,The Fourth Protocol,28.08.1987 00:00,119,6.5,7532,1987,1,1.0706385,110
27000000,7393346,Ironweed,12.02.1988 00:00,143,6.8,6874,1987,0,-0.72617237,-70
5000000,6880310,Death Wish 4: The Crackdown,6.11.1987 00:00,99,5.3,6770,1987,1,0.376062,40
18000000,18532286,Project X,17.04.1987 00:00,108,6.1,8879,1987,1,0.029571444,0
4000000,800000,The Barbarians,20.03.1987 00:00,87,4.9,2538,1987,0,-0.8,-80
55000000,14375181,Ishtar,15.05.1987 00:00,107,4.2,9094,1987,0,-0.738633073,-70
100000,5228617,Hollywood Shuffle,20.03.1987 00:00,78,7,3009,1987,1,51.28617,5130
22000000,11307844,Extreme Prejudice,24.04.1987 00:00,96,6.6,4924,1987,0,-0.486007091,-50
350000,4000000,American Ninja 2: The Confrontation,1.05.1987 00:00,90,4.8,6565,1987,1,10.42857143,1040
