,runtime,score,popularity,budget_norm,votes,score_norm,popularity_norm,budget,votes_norm,runtime_norm,isprofit,profitability_ratio
39,98,5.7,8.180575,-1.1445931665646412,4744,-0.6556306729619763,0.1293819277859874,2000000,-0.852797632160527,-0.5086424720884701,1,2.6846865
40,136,7.2,1.991634,-0.8598006110995428,5364,1.129673863919253,-1.566820849571582,8500000,-0.841648659264196,2.1882381253520573,0,-0.967335765
41,115,5.7,9.328747,-0.4435653377274758,3607,-0.6556306729619763,0.4440613754142968,18000000,-0.8732434098752502,0.6978567425559764,0,-0.927493667
42,104,5.0,3.150899,-0.8817077307507042,4752,-1.4887727901732168,-1.2491011439396456,8000000,-0.8526537744457356,-0.0828192198610184,1,0.47928775
43,93,5.9,4.119963,-1.0876346554716214,3909,-0.4175900680444788,-0.9835098176954244,3300000,-0.8678127811418761,-0.8634951822780131,1,0.497308182
44,96,4.9,4.079853,-0.5750080556344443,5049,-1.607793092631965,-0.9945027635644854,15000000,-0.8473130567841061,-0.6505835561642873,0,-0.179431933
45,116,5.9,12.798828,0.5203479269236265,8374,-0.4175900680444788,1.3951063166822348,40000000,-0.7875221940739435,0.7688272845938849,1,0.246289775
46,100,5.6,1.884204,-0.66263653423909,4573,-0.7746509754207256,-1.5962641847676236,13000000,-0.8558725908141924,-0.3667013880126528,0,-0.348041077
47,111,5.7,1.828322,-0.5311938163321215,2287,-0.6556306729619763,-1.6115797619567251,16000000,-0.896979932815826,0.4139745744043419,0,-0.7625
48,105,6.4,2.524937,-0.3559368591228302,3079,0.1775114442492642,-1.4206585207057671,20000000,-0.8827380190514805,-0.0118486778231097,1,0.145275
49,100,5.9,2.722264,-0.9693362093553498,3561,-0.4175900680444788,-1.366577118823339,6000000,-0.8740705917353006,-0.3667013880126528,1,0.6579385
50,108,6.9,2.563112,-0.4435653377274758,2720,0.7726129565430073,-1.4101959001983777,18000000,-0.8891936340027432,0.201062948290616,0,-0.335669833
51,127,5.5,2.456811,-0.136865662611216,1340,-0.8936712778794738,-1.4393298104159555,25000000,-0.9140090898042542,1.5495032470108798,0,-0.83971
52,97,6.3,0.109362,-0.6188222949367672,1288,0.0584911417905149,-2.082695050689736,14000000,-0.914944164950398,-0.5796130141263787,1,0.288153571
53,83,4.4,0.310867,-0.7940792521460586,792,-2.202894604925708,-2.0274685845380245,10000000,-0.923863343267463,-1.5732006026570993,0,-0.3052213
54,101,6.6,9.389976,-0.0492371840065703,120345,0.4155520491667606,0.4608424046493191,27000000,1.2259643287890962,-0.2957308459747442,1,0.411929815
55,96,7.1,9.10373,-0.2376384130065585,146748,1.0106535614605037,0.3823909764958603,22700000,1.7007487342436591,-0.6505835561642873,1,0.679272379
56,110,7.6,13.183804,-0.5750080556344443,204328,1.6057550737542468,1.500616671428872,15000000,2.7361646364545336,0.3430040323664333,1,3.3471418
57,119,7.9,11.062203,-0.136865662611216,234254,1.9628159811304933,0.9191495822055952,25000000,3.274300383060345,0.9817389107076108,1,2.05081816
58,84,7.8,13.520764,-1.0744903836809248,123325,1.843795678671744,1.5929672832473407,3600000,1.279551327548881,-1.5022300606191907,1,0.64529
