,budget,gross,name,released,runtime,score,votes,year,isprofit,profitability_ratio,profitability_ratio_bucket,id,imdb_id,original_title,popularity,title,year_released,budget_norm,runtime_norm,score_norm,votes_norm,popularity_norm
35,18000000,3900000,The Manhattan Project,13.06.1986 00:00,117,6.1,4666,1986,0,-0.783333333,-80,30194,tt0091472,The Manhattan Project,4.29831,The Manhattan Project,1986,-0.4435653377274758,0.8397978266317936,-0.17954946312698247,-0.8542002448797428,-0.9346302635465983
36,25000000,1579260,Solarbabies,26.11.1986 00:00,94,4.8,3397,1986,0,-0.9368296,-90,36677,tt0091981,Solarbabies,1.278665,Solarbabies,1986,-0.136865662611216,-0.7925246402401046,-1.7268133950907143,-0.8770196748885236,-1.7622242308560132
37,10000000,21458229,Tough Guys,3.10.1986 00:00,104,6.2,5584,1986,1,1.1458229,110,11038,tt0092105,Tough Guys,2.86084,Tough Guys,1986,-0.7940792521460586,-0.0828192198610184,-0.06052916066823322,-0.8376925721074333,-1.3285976008290485
38,12000000,7790931,The Best of Times,31.01.1986 00:00,104,5.9,5523,1986,0,-0.35075575,-40,30653,tt0090713,The Best of Times,5.655712,The Best of Times,1986,-0.7064507735414128,-0.0828192198610184,-0.41759006804447885,-0.8387894871827175,-0.5626071593692082
39,2000000,7369373,Witchboard,13.03.1987 00:00,98,5.7,4744,1986,1,2.6846865,270,17994,tt0090327,Witchboard,8.180575,Witchboard,1987,-1.1445931665646412,-0.5086424720884701,-0.6556306729619763,-0.852797632160527,0.12938192778598745
40,8500000,277646,Lady Jane,7.02.1986 00:00,136,7.2,5364,1986,0,-0.967335765,-100,21867,tt0091374,Lady Jane,1.991634,Lady Jane,1986,-0.8598006110995428,2.1882381253520573,1.129673863919253,-0.841648659264196,-1.5668208495715819
41,18000000,1305114,8 Million Ways to Die,25.04.1986 00:00,115,5.7,3607,1986,0,-0.927493667,-90,20858,tt0090568,8 Million Ways to Die,9.328747,8 Million Ways to Die,1986,-0.4435653377274758,0.6978567425559764,-0.6556306729619763,-0.8732434098752502,0.4440613754142968
42,8000000,11834302,Firewalker,21.11.1986 00:00,104,5.0,4752,1986,1,0.47928775,50,12715,tt0091055,Firewalker,3.150899,Firewalker,1986,-0.8817077307507042,-0.0828192198610184,-1.4887727901732168,-0.8526537744457356,-1.2491011439396456
43,3300000,4941117,Vamp,18.07.1986 00:00,93,5.9,3909,1986,1,0.497308182,50,34223,tt0092147,Vamp,4.119963,Vamp,1986,-1.0876346554716214,-0.8634951822780131,-0.41759006804447885,-0.8678127811418761,-0.9835098176954243
44,15000000,12308521,Club Paradise,11.07.1986 00:00,96,4.9,5049,1986,0,-0.179431933,-20,26555,tt0090856,Club Paradise,4.079853,Club Paradise,1986,-0.5750080556344443,-0.6505835561642873,-1.607793092631965,-0.8473130567841061,-0.9945027635644854
