,votes,runtime_norm,country,rating,score_norm,budget_norm,popularity,runtime,popularity_norm,votes_norm,genre,year,budget,score,isprofit,profitability_ratio
14,110166,0.7998833279376444,1,4,-1.0877903076009825,2.0932364030860824,13.076349,117,1.1113845362120311,0.2493924907640823,0,2003,95000000,5.5,0,-0.308840042
15,57419,2.402614436061382,1,5,1.4685039127474873,-0.527232974532789,16.532577,139,2.129734081219957,-0.4232056397068842,6,2003,22000000,7.5,1,1.651420636
16,87321,-0.1471850541354731,1,4,0.4459862246080996,1.7342679951930864,8.304835,104,-0.294503359754019,-0.0419132572520935,0,2003,85000000,6.7,0,-0.438513624
17,172078,0.7270319139320199,1,4,0.0625420915558294,0.4778785675676001,5.188107,116,-1.212821983616063,1.0388572082592666,4,2003,50000000,6.4,1,1.11626746
18,105990,-0.0014822261242242,1,4,-1.982493284722947,2.990657422818573,7.821116,106,-0.4370272394175393,0.1961426416191688,0,2003,120000000,4.8,0,-0.159749075
19,190484,2.985425748106377,1,5,0.3181715135906754,3.349625830711569,8.191436,147,-0.327915455268075,1.2735594887576571,0,2003,130000000,6.6,1,0.0662188
20,171577,-0.7299963661804685,1,5,-0.0652726194615947,0.6573627715140982,14.397139,96,1.500544596124461,1.032468756529956,4,2003,55000000,6.3,1,0.901183891
21,129165,-1.1671048502142152,1,5,-0.1930873304790178,-0.3836456113755905,12.638573,90,0.982397388831884,0.491656351852256,9,2003,26000000,6.2,1,0.806200538
22,200427,1.3098432259770154,1,5,1.7241333347823344,-0.5990266561113882,6.372278,124,-0.8639156038686675,1.4003466654932597,5,2003,20000000,7.7,0,-0.18756495
23,94693,1.746951710010762,1,5,1.5963186237649103,0.4778785675676001,9.930326,130,0.1844343782263686,0.0520900683935728,5,2003,50000000,7.6,0,-0.6081252
24,58778,1.4555460539882643,1,5,1.5963186237649103,-0.7785108600578862,9.245145,126,-0.0174486455782171,-0.4058764862136041,6,2003,15000000,7.6,0,-0.132967667
25,137276,-0.2928878821467219,1,5,0.0625420915558294,-0.2759550890076916,8.843365,102,-0.135829863539904,0.5950829625836722,0,2003,29000000,6.4,1,0.94344069
26,81258,2.111208780038884,1,4,-1.0877903076009825,0.8368469754605963,11.664861,135,0.6955010462963924,-0.1192249994373452,0,2003,60000000,5.5,0,-0.4802184
27,118792,-1.6042133342479616,1,4,-1.0877903076009825,0.4060848859890009,11.142209,84,0.5415058739878864,0.3593860728340116,4,2003,48000000,5.5,1,1.291733688
28,65841,0.7998833279376444,1,4,0.0625420915558294,1.0163311794070944,10.527191,117,0.3602958090061537,-0.3158133433710455,6,2003,65000000,6.4,0,-0.017523969
29,12152,-0.9485506081973418,1,2,-1.7268638626881,-0.9579950640043844,4.735377,93,-1.3462152057968444,-1.0004232932611952,6,2003,10000000,5.0,0,-0.9634266
30,180365,-0.0014822261242242,1,4,-0.1930873304790178,1.3752995873000904,9.409379,106,0.0309415703377555,1.1445280655063688,4,2003,75000000,6.2,1,0.808610973
31,34946,-0.3657392961523464,1,4,-0.0652726194615947,-0.060574044271894,9.392508,101,0.0259706670368654,-0.709767866678542,4,2003,35000000,6.3,0,-0.420051229
32,26598,-0.0014822261242242,0,5,-0.0652726194615947,-0.240058248218392,8.408429,106,-0.2639802279567098,-0.8162165593657399,6,2003,30000000,6.3,0,-0.820625767
33,39134,0.5084776719151467,1,4,0.5738009356255227,-0.6708203376899874,8.508008,113,-0.2346400833417293,-0.6563650007257407,4,2003,18000000,6.8,1,1.422817944
34,99418,1.091288983960142,1,5,0.3181715135906754,1.1958153833535925,10.614987,121,0.3861641882489337,0.1123404364993479,0,2003,70000000,6.6,0,-0.375216057
35,51247,-0.0743336401298487,1,3,-0.7043461745487122,-0.5990266561113882,6.743151,105,-0.7546408827548623,-0.5019072845637823,4,2003,20000000,5.8,1,0.79952525
36,29091,2.256911608050133,1,5,0.1903568025732524,0.8368469754605963,8.975439,137,-0.0969153307581036,-0.7844273175270737,1,2003,60000000,6.5,0,-0.551661067
